"","Delta","Theta","Alpha1","Alpha2","Beta1","Beta2","Gamma1","Gamma2","time"
"109",93555,166304,22499,26584,9347,11125,3215,2439,109
"110",48903,23743,15845,7104,4354,1568,987,933,110
"111",295818,308262,30661,19647,16998,7133,3480,1425,111
"112",223126,116773,20547,15982,27519,4028,2788,3310,112
"113",178847,102734,80687,13898,7696,13889,1008,686,113
"114",567049,190184,4291,22711,20788,7520,2282,2109,114
"115",180482,17286,10824,6837,6053,3680,1166,466,115
"116",225985,57503,56810,12837,16557,11076,6213,2872,116
"117",635509,41494,4521,6373,9546,7088,3535,1869,117
"118",87002,17115,3053,3413,2708,1717,1405,933,118
"119",766219,51344,1791,10089,3843,4834,1688,516,119
"120",155814,30089,21955,28626,4159,10505,1443,8133,120
"121",43705,9356,13850,12102,9626,6805,4954,1781,121
"122",96380,14560,499,5700,11121,1610,975,925,122
"123",2024061,304325,99980,152857,53766,32481,8639,5881,123
"124",700480,76297,55637,31134,30300,26620,4438,1318,124
"125",538632,570730,5217,9279,37162,23884,6753,2917,125
"126",1152084,402602,27567,16160,39795,31273,7776,4694,126
"127",36665,11762,13486,2123,85164,7712,3806,2516,127
"128",275809,109010,18863,14837,29138,11924,6362,3915,128
"129",324559,30060,12870,9964,5527,11518,4495,1367,129
"130",78067,14548,6173,7159,7570,4911,1045,982,130
"131",430640,22108,21820,31468,8298,11081,4293,3049,131
"132",604964,292863,35111,58122,48169,12865,6604,7221,132
"133",260929,36611,21107,19631,5162,2294,2586,1310,133
"134",156004,77470,4381,15831,11053,3335,1205,1069,134
"135",41014,55258,29234,14054,17330,3450,1521,1063,135
"136",924310,61604,24839,9066,12899,3651,2921,1517,136
"137",386440,236277,38047,14240,12956,17253,5690,4298,137
"138",85966,74359,31293,13767,7630,10014,8293,5243,138
"139",282707,125852,10584,6896,7944,10310,2985,3523,139
"140",13492,10590,9406,2609,10789,8904,2817,2928,140
"141",342064,172490,10492,22896,9644,10329,5588,1745,141
"142",37628,42657,26248,22752,12344,16329,4983,2494,142
